Date,9,10,2019
Vehicle_order,SKODA_TARGET,JAGUAR_I_PACE,BMW_I3,MERCEDES_GLE450,TESLA_MODELX,TESLA_MODELS,TESLA_MODEL3,TOYOTA_RAV4,MAZDA_3,AUDI_A4,
Number_of_vehicles,10
ACC,1
Distance_setting,L
Time,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed9,E9,N9,Lon9,Lat9,Alt9,IVS2,IVS3,IVS4,IVS5
12323.400000000449,14.486749061566591,108.2898519261631,10.662991503360162,16.846360011550818,46.88539291772084,227.62600000032123,16.34168056514122,102.85359749979118,-43.13640187760452,16.84628867540809,46.88490897142921,228.163,15.69252436232816,99.85189744827105,-77.15760419957859,16.846249286209847,46.88460293759378,228.5679999945681,16.637292133482678,97.46656072471943,-108.33259764036224,16.846217985113974,46.884322506504915,227.4435,17.965377732858286,92.72978587245652,-162.76532653460868,16.84615582774965,46.883832863116105,227.035,18.924794295688766,21.523084119600206,-333.64135764050616,16.845221432292586,46.88229576731665,226.1495000049759,49.356172164307324,29.816155524989572,26.661436329164697,49.587204871841536
12323.50000000045,14.431561426906171,108.41404788703292,12.109328551371565,16.846361641287054,46.88540592808037,227.6975,16.325306723808293,103.02021267389469,-41.43438195188106,16.846290861781814,46.884924281754856,228.163,15.6745013807515,99.99291006853485,-75.58410480436571,16.846251136619266,46.884617091827685,227.359,16.622025806921528,97.60997194275677,-106.68059526597055,16.846219866998513,46.88433736690339,227.4435000000786,17.9182102370885,92.87919302238451,-160.97776366199327,16.84615778831458,46.88384894293353,227.03500000039088,18.98183799296564,23.12324987251041,-332.60390100080775,16.845242430142132,46.882305099639225,227.2569999962686,49.09752261500977,29.94643184108785,26.58297935709,49.451635250315924
12323.60000000045,14.376843349778822,108.53739964417805,13.54993300290126,16.846363259945385,46.88541888687299,227.6975,16.307376606282013,103.17759282736306,-39.66994457548954,16.846292926970865,46.88494015354953,228.163,15.656692432866313,100.13419244096116,-74.01196575080759,16.846252990568455,46.88463123382478,227.359,16.606890287042383,97.7531524966352,-105.03028901928785,16.846221745856198,46.88435221204453,227.461,17.871480266254483,93.02817604740795,-159.19505325210343,16.846159743314015,46.88386497910118,227.122,19.03875113219127,24.72597367389412,-331.5585940934348,16.84526346155915,46.88231450257801,226.4265,48.77190976989608,30.13940047794858,26.504895900047412,49.319227450685304
12323.70000000045,14.322594830184547,108.6599033638008,14.98457799774122,16.846364867475526,46.88543179205799,227.6975,16.287890212562388,103.32694296171115,-38.05003611642808,16.846294886787614,46.88495472525084,228.162999996864,15.639097518672587,100.27607492083212,-72.44043047403314,16.846254852392434,46.88464537039067,227.35900000093903,16.59188557384524,97.8960566822282,-103.38138986696049,16.846223621087304,46.88436704452831,227.461,17.825599265137804,93.17705291442884,-157.4172903756839,16.846161696920415,46.88388097076389,227.122,19.095533713365647,26.330433843932273,-330.50417432238663,16.84528451576131,46.88232398749047,226.4264999993216,48.58488925943457,30.188244168716587,26.427681142672693,49.190332458643894
12323.800000000449,14.268815868122365,108.78172329219571,16.413453960656128,16.84636646603275,46.88544464534835,227.69750000099015,16.266847542649007,103.46929892932407,-36.387090026521825,16.846296754824838,46.88496968409225,227.465,15.621716638170021,100.41776281203012,-70.86981665044958,16.84625671166296,46.88465949866772,227.568,16.577011667329835,98.03840077569109,-101.73346638316929,16.846225488968706,46.8843818682356,227.461,17.780567233737653,93.32597667524,-155.64412755512726,16.84616365114217,46.883896921047274,227.12200000023458,19.15218573648981,27.935553751626983,-329.43956534836724,16.845305578620742,46.88233356405877,226.2755,48.34993905847729,30.28027508609351,26.350549310802016,49.06499573247526
12323.900000000449,14.215506463594235,108.90256492885963,17.836289803860527,16.846368051752542,46.88545744430548,227.917,16.24424859654266,103.6058793615493,-34.81276639684296,16.846298547073776,46.884983845740464,227.4650000002706,15.604549791359238,100.53688171742228,-69.32303962808136,16.846258274776563,46.884673412523576,227.568,16.562268567496705,98.18053399360984,-100.08718590122129,16.846227354082938,46.88439667716342,227.4610000003857,17.736384172055665,93.47466353195837,-153.87609808555388,16.846165602255198,46.88391282515421,227.174,19.20870720156169,29.54070132844449,-328.3635697974522,16.845326641843258,46.882343243053725,226.27550000597043,48.197636682410824,30.30925692804043,26.249575034370075,48.94313869153668
12324.000000000451,14.16266661659918,109.02268191956934,19.2534082898867,16.84636962796332,46.88547019183277,227.917,16.220093374242968,103.73771058227491,-33.250166280061286,16.84630027700215,46.884997901931136,227.525,15.587596978239914,100.67185197149419,-67.76193513724715,16.846260045896262,46.884687455260526,227.56800000038797,16.547656274345574,98.32250370520741,-98.44234053904155,16.846229217051608,46.88441147318178,227.5465,17.693050080091016,93.62299129526686,-152.11274895436514,16.846167548656098,46.88392868715969,227.174,19.265098108582325,31.14472373912479,-327.27498727035197,16.845347690301015,46.88235303527338,227.59899999510097,48.05171323116976,30.31046877121539,26.16554418110986,48.824531868841284
12324.100000000451,14.110296327136028,109.14210823835741,20.665274608451487,16.846371195110887,46.88548289211483,227.917,16.19438187574993,103.8658068459245,-31.677634962336,16.846301957919305,46.885012047456776,227.525,15.57085819881206,100.8066120007872,-66.20244885135988,16.846261814257332,46.8847014834411,227.654,16.533174787870873,98.4639138247556,-96.79879773942658,16.846231072677124,46.88442625748313,227.5465,17.65056495784369,93.77041385601143,-150.35389031308898,16.84616948317866,46.8839445087715,227.17400000029323,19.321358457554265,32.74650361102983,-326.1725883485775,16.84536870933151,46.88236295177683,226.513,47.89098825766918,30.32287385333375,26.081225287788893,48.70913127167146
12324.200000000452,14.058139047351318,109.26074944875984,22.071427420463106,16.846372751956036,46.88549554100165,227.91700000043303,16.167114101058246,103.99117579244756,-30.017858125175344,16.8463036030478,46.885026977789536,227.525,15.554333453077389,100.94116583075126,-64.64477060862166,16.846263579912588,46.88471549535762,227.654,16.517586947667027,98.60509923260165,-95.15687211724631,16.846232925353913,46.88444102723732,227.54650000041283,17.60892880531371,93.91743150312584,-148.59950606213738,16.846171412387818,46.88396029013442,227.239,19.37805241159661,34.3446826410488,-325.055464068544,16.84538968111069,46.88237300074055,226.51299999924663,47.637971653929775,30.423768040761228,25.99671750038298,48.596593014153406
12324.300000000452,14.005938229394756,109.37880637727177,23.472275708888425,16.846374301134063,46.88550814217227,228.013,16.137115524798453,104.1148157178356,-28.480084054666115,16.84630522548757,46.88504081066035,227.5250000008968,15.538402816162396,101.07535865043656,-63.088947607642716,16.846265340830566,46.88472949058553,227.654,16.499655593348105,98.74603694704773,-93.51668044923198,16.8462347747804,46.88445578139393,227.638,17.568141622497453,94.06402975979825,-146.84970627013632,16.846173336093614,46.88397603025837,227.239,19.43574413382042,35.93807504609468,-323.9219913034379,16.845410590078355,46.882383196765204,226.346,47.50117991910749,30.40486393290581,25.91208013071983,48.48690965630126
